stemming,label_number,pseudo_label
bagus uinya bagus sedikitberasa buka steam internet hp,0,positive
masalah login ulang tolong baik login akun steam,1,neutral
susah banget sign pc aman tuh alas password salah tolong feedback ya,2,negative
maaf login password email steam dileptop masuk steam android,1,neutral
tampil kayak lengkap ya syaa load ui ya,1,neutral
ingat aplikasi curi hidup isi dompet,1,neutral
akun hilang update lupa paswordnya reset pasword ribet banget aplikasi eror mulu bintang akun,2,negative
susah banget bikin akun ya aplikasi ya easy use tutorial ya,2,negative
login steam app klik sign suruh isi id password,1,neutral
coba kali kali eh steam play store pc ya hp play store,1,neutral
update jelek sistem ngebug,2,negative
sign up mohon developer peka dikit orang bilang kasih bintang tolol kontol main game sign up developer mohon peka,2,negative
aplikasi nihlogin pakai akun segalapadahal kagak adad pakai emosi gara gara inihalahapp gembel,2,negative
steam waras log passwordnya verified,1,neutral
login sumpah android pasdulu masuk steam,1,neutral
apk pas login verivikasi centang pas verif banget gambar pencet hilang gambar hasil banget nih aplikasi,1,neutral
keren main game ya buka chrome tulis steam tulis email kalia centang robot nya kor centang continue,0,positive
pas pasuk password salah password ya me riset password,1,neutral
yasaya coba daftar verifikasi email eror,1,neutral
gue pindah gmail ngeautentikasi nomor steam guard gue aplikasi ya reset mulu anjg,1,neutral
apk bagus main tf hp paladins aplikasi gaming bagus gamenya free bosan keluar hp langsung main deh,0,positive
gunain lo beli game nih aplikasi beli indonesia maret tinggal bawa hp ribet,2,negative
cupu tampil modern fungsi miskin login barcode manapula kwkwkw,2,negative
bagus ya aplikasi simpan akun aman ribet,2,negative
aplikasi keren pasang mod masuk kin password,1,neutral
update bagus keren berat buka apk ya,0,positive
app steam mobile error log out login mohon bantu min kendala,2,negative
daftar masak guna daftar langsung suruh log,1,neutral
erti steam play store mainin game steam pc main android steam play store men unlock game steam pcredeem steam wallet,1,neutral
pas akun bingung peribet gagal pas coba sih,2,negative
buka market berat bug klik,1,neutral
aplikasi steam mobile server server kadang error,2,negative
apk bagus tunggu ark diskon tolong ark cepat diskon,0,positive
ya game steam bayar iya tau game ya seru bayar gue tau bayar ya kayak,0,positive
aplikasi seru semenjak blokir kominfo tambah fitur main game steam,0,positive
app bagus ngamanin pas jual beli item wisper teman,0,positive
senang banget steam akun hilang untung steam developer ketat milik akun hilang gampang milik,0,positive
bagus muas saran sih game mobile utama game pc game mobile naik turun,0,positive
parah log passwordnya salah mohon tanggap valve mencova log browser loh,2,negative
gue daftar linknya gue daftar pas gue pasuk email pas pencet continuekgk tolong respon,1,neutral
login passwordnya salah login steam pc masuk,1,neutral
daftar pse bebas steam daftar kominfo,1,neutral
sign ya internet lancar mencet tombol sign erro,0,positive
susah banget verified email banget tunggu ya kayak verified,2,negative
ya pasang password terima pliss baik pengin download game crab game,1,neutral
login game ya banget sayang banget login,0,positive
aplikasi ya bagus ya pasword alamat hais sanpai bingun ya ya,0,positive
aplikasi guna komputer pc ya aplikasi main grand theft auto,1,neutral
pasuk nama password ku rekomen sih,1,neutral
halo valve kali reset password error servernya tolong diperbaikii,1,neutral
asyu gilir pakai vpn logintapi pas pakai vpn kayak asu kgk login pleasefixthisapp,0,positive
pas buka app main game steam loading buka app ya banget main tolong baik,1,neutral
woy balikin akun gua pas login steam guard kasih codenya bilang maksud akun gua masuk kontool,1,neutral
hiih ribet banget sih pakai login susah email gua hiih ribet banget gue tuju download game login ribet hapus download hih gara gara developer gooblook,2,negative
bagus rumah cek discount game,0,positive
aplikasi guna login pakai komputer ya kayak sih,2,negative
regis doang susah verify human eh ulang tolong fix bug nya ya,2,negative
akun sistem robot coba ulang kali bis,1,neutral
bikin akun susah verify email pas page creation bikin username password page sign,1,neutral
steam ya daftar bisatolong baik valve,1,neutral
tolong team belakang steam daftar pse biar main,1,neutral
sisi steam download game pc suka android sisi gelap steam login,2,negative
tolol banget pengin main game pc sign up pantau main game sign up ku kudu sign upnya pclaptop bego,2,negative
beli item ya tunggu steam a tolong bantu beli item dota tq,1,neutral
gue manusia robot ngestuck banget rechapcha centang pas continue verifikasi ngulang,2,negative
keren main siren head the sires forest sayang masuk password salh bye bye,1,neutral
kasih bintang bocil guna pc kentang bahasa inggris banyak main game ml valorant ya ajar bahasa inggris main dead brain,1,neutral
trade ya tulis trade error try again coba,2,negative
quit save game banget paksa quit progres simpan,2,negative
lumayan beli gamekalau malas buka pcpc nyarinya mending siniv,2,negative
akun reset password eror captcha invalid,1,neutral
apknya tll akun dibolehin akun kasih sandi anggap salahjangan download apk,1,neutral
nambahin nomor hp error naroh nomor susah login pc authenticator,2,negative
good steam mobileakun amanyang tau pakenya ngegasmenyalahkan aplikasinyaandanya pandai operasi v,0,positive
raku kasih bintang login ya sih lancar pas ketik password ya bisah mohon baik ya,1,neutral
create akun verifikasi email nickname ya kedetek login aneh,2,negative
name password pc login hp baik dev,1,neutral
apk bgo pas masuk link bikin akun apknya mulu linknyamau verify nih apk bug ya,1,neutral
login pakai bantu coba tambah login pakai google bikin ribet tulis cek salah,2,negative
update kagak login userpassword salah,1,neutral
activekan steam guard apk,1,neutral
tolong baik kasih masuk username password guard code login,1,neutral
logindimohon developer steam atas terimakasih,1,neutral
alam log mudahsemua kendala atas cepat,0,positive
aplikasi pakai gagal login akun,2,negative
login akun pc tinggal dekat handphone pc konek login parah,2,negative
nih app kasih nama sandi login kesel penuhin memori uninstal tks,1,neutral
bro balikin steam hp gua samsung prime brooh masuk aplikasi butuh menit broohh,1,neutral
login password ya buat akun create new account,1,neutral
login kode verifikasi aplikasi hp login hp kocak,1,neutral
e otak dengkulkalau susah login marah blok gue kayak email pw steam lupajangan buru buru kasih rating bintang baca susah login cari solusinyaini apk bagus rating blog steam hilang njeng dasar sdm rendah baca enak jidat rating bintang mata pakai,2,negative
bikin senam jantung steam gue hilang gegara akses nih apk hati pakai steam mobile autentikasi,1,neutral
buka wishlist ya lambat steam pc cepat,1,neutral
stuck connecting steam login,2,negative
tolong benar bug susah login beli download,1,neutral
sennypartiwi paham poppy playtime chapter rilis tailer ya diuplode game ya apload game project playtime mobipe bikin kocak koack,0,positive
jelekk download game ukur gb suruh download ulang jelek banget aplikasi mending download pindah app belah,2,negative
login steam susah pakai email login tambah kayak kayak login akun google,2,negative
tolong baik steamnya harus pakai verify akun orang main lupa gmail tolong hilang langkah orang susah main,1,neutral
daftar akun pas suruh bikin nama unik pw unik pas confirm pw suruh ngulang pw nya bilang salah ya loh,1,neutral
guna banget tempel pc pantau checkout barang diskon hehe,1,neutral
ribet pakai nyaterus lupa password pas cari akun otw bintang,2,negative
verifikasi centang tekan lanjut verifikasi,1,neutral
tolong benar bug i not robot ya selesaiin kali error,2,negative
login susah steam mobile,2,negative
hahaha lucu kali ya steam verifikasi mail notifnya eh kagak verifikasi,2,negative
bug bikin aplikasi bikin anjing bikin emosi,2,negative
aplikasi alami bug buka layar hitam,1,neutral
keluh main pubg ganggu ping ya turun main gem epiq games kendala,2,negative
dar aplikasi tambah main dota hp ya bujangg biar gampang akses markettrade,1,neutral
ribet chat an donlod aplikasi pisah kayak,2,negative
sumpah apk bobrok orang daftar suruh akun verifikasi email bikin akun tolol,2,negative
layan akun terhack hasil kembali terimakasih steam,1,neutral
gua lihat steam bagus pas coba ngelag padah abang windah lancar,0,positive
masuk ulang kali chapta laku bilang chapta,1,neutral
mantap bantu pantau akun steam bawa laptop mana hehe cegah orang masuk akun muncul notif hp baik valve,1,neutral
suruh bikin pasword nama pas coba hak bikin ya kayak,1,neutral
appnya bug oy menandatangani main dota tolong perhati masuk masuk,1,neutral
aplikasi jelek daftar versi hp susah huruf nomor pas benerin namenya aplikasi jelek dunia,2,negative
saran login steam langsung website ya aplikasi ya susah,2,negative
susah banget akun ya pakai password apk gaguna uuu,2,negative
aplikasi tolol aneh ganti sandi ganti email login kontak cs suruh login guoblokk,2,negative
suka steam pc ku duwe steam juka more games i will like like tf heroes and general,0,positive
dasar aplikasi rusak kali login steam,2,negative
ngeluh mainin game woy goblok game platform kampung banget anjing orang makan ya warnet buka fb chatingan main pubg mobile ff dasar anak kentud,2,negative
kayak gue kode steam guardnya tunggu banget teman app hp anjir,1,neutral
mntp nih apk faedah banget info game update,1,neutral
login via steam mobile login nya gagal,2,negative
login steam pc scan hp mulu,1,neutral
aco lo steam bikin akun dasar apk sampah gaguna teman sih,2,negative
assalamualaikum nama deva praditya abdillah download steam aya masuk passwordnya password password email maaf ya developer kasih bintang rena password masuk sig yaudah maaf kasih bintang passwordnya sig mohon baik ya developer steam passwordnya kasih tau ya komentar assalamualikum,1,neutral
login easy akun easy susah kudet teknologi lupa pw,1,neutral
aplikasi nih ajglogin bisapas akun mek,1,neutral
aplikasi ngentod daftar cuman stuck captha kontoi kontoi verivikasiverivikasi mata berkalikali anggap robot kontoi kontoi balikin su kuota mbak ku,2,negative
apa aplikasi guna bikin enjoy bikin nyesal sandi ya betol tok huruf sandi salah terima aplikasi developer,1,neutral
bagus bantu beli game kualitas harga ya harga kualitas,0,positive
lambat user friendly update murah harga,2,negative
tolol steam suka logout main game bikin ribet mending main baja fakyu,2,negative
jelek gue pas daftar pakai alamat email dah dancoo ribet nih app daftar google nih app oncom kntol habis daftar buka warna biruu doang app,2,negative
gue kasih bintang susah masuk login gue bikin akun gue masuk menu login kun auto hapus dah,1,neutral
rugi beli game akun login respon steam,2,negative
akun verifikasi akun ku login steam aplikasi,1,neutral
captchanya respons gue ulang kali respon masuk,1,neutral
daftar verified email login terus daftar ribet daftar,2,negative
aplikasi gila pc android login susah banget apknya steam,2,negative
aplikasi mantap pakai pergi bawa pclaptop,0,positive
payah bikin akun name password salah verify ya,2,negative
sangak bagus main gta main game bayar terimakasi,0,positive
aplikasi tolol lagin steam pc suruh kode mobile email gilir login dimobile suruh kode mobile tolol muter aplikasi kont,1,neutral
beli game bawa smartpay error,2,negative
daftar masuk password masuk,1,neutral
pas verifikasi email pesan kagak muncul ya,1,neutral
great job valve mohon warga ngeflex mengulasmemberi dapat sombong orang pc bro nama steam steam kapai download pc gamer respect platform mainstream kualat pc bakar,1,neutral
aplikasi tolol ribet pakai steam mobile listing item kena hold mulu sampah cacat,2,negative
aplikasi login akun verifikasi gagal,1,neutral
masalah steam aman steam biar curi hack orang bertangung tuju utama steam android muda beli game jual beli barang game doang sadar ya cuk game steam kagak android pc,2,negative
pas update steam pas verifikasi kode kode sistem lambat tolol,1,neutral
beli game apk steam ya buka coba jam hasil buang duit,1,neutral
susah akun barudgn human verification ya susah moga kembang bangkrut game indak lakurating kritisberdosaplus masuk nerakamn,2,negative
steam bagus download game habis jual trending cards pakai steam wallet ya,0,positive
masuk katak email ganti hlo steam mobile akses black screen,1,neutral
depeloper steam tolong benerin sign up masukkin salah tolong dibenerin loper steam,1,neutral
developer ya kapai sih apk jelek banget bikin akun,2,negative
beli game link bayar ya hasil eror steam,1,neutral
update buka ya hp redmi,1,neutral
mantap akun gua kena suspend gara upgrade nih steam coba ulang kali login kebanned,1,neutral
mudah cepat balas chat teman undang main game,1,neutral
bintang gua bintang sih pas login sih gua akun ya anjing banget plis download login,2,negative
cacat sing captcha ya banget,2,negative
dear steam hapus steam guard hp hilang nomor hilang recovery kode akun dota login nih nyangkut steam guard,1,neutral
sign jaring kencang banget,0,positive
mohon baik servernya login notif valid terus,1,neutral
aplikasi guna pantau akun steam mana warga indonesia bisa katai doang baca mata otak katai bego steam bego ya tolong cari info bacabaca steam ngarepnya main game pc mobile pakai aplikasi ya bisa bego dasar warga indonesia malas bego bisa salah orang mulu tau malumaluin negara,2,negative
gila steam keren bilang parah keren game ya free bayar seru,0,positive
sih gue login pc gpnya account verified email robot dll gbisa ngotak kayak,1,neutral
bintang steam ya suka masuk steam akun steam,0,positive
daftar kasih tau entar kasih bintang main beli game daftar,1,neutral
parah aplikasi nih bisah login masuk daftar akun bisah masuk download apk,2,negative
masuk app steam black screen,1,neutral
apa steam nih password usn login,1,neutral
ganti pasword akun sulit,2,negative
ribet lupa password kayak user,2,negative
lumayangak ribet cum rada sulit pas bikin akun barukalo buka web susahmendingan,2,negative
respon lambat kirim kode konfirmasi kunjung tunggu jam kode no gue aktif anjg,1,neutral
tolong ya bocah bocah tolol kasih bintang tuh kode verifikasi login steam pc steam guard chatting trade item descriptionnya bocah tolol baca,1,neutral
susah log email password kayak aplikasi,2,negative
kesel bikin akun email verifikasi,2,negative
create new account sih menu log mulu,1,neutral
tolong developer baik bug loggin pc mobile,1,neutral
maaf tau aplikasi steam daftar akun tutorial daftar akun dll mohon jelas biar tau susah susah daftar pc,1,neutral
log susah banget gue kali kali capek gue undah verifikasi kali gue banget akun google gue tolong diperbaikin,2,negative
kayak susah login user samsung realme aman nih tolong benerin butuh banget nih stem aut ya ty,1,neutral
plis fix gue masuk steam acces denied mulu pakai vpn lodingnya banget pakai vpn,1,neutral
bagus sih bantu susah masuk mana kayak cek teman lihat prof cej dlc kga kebukabuka,2,negative
parah banget join bikin akun ya tolak sistem,2,negative
fotgot password ya pls try again tolong baik,1,neutral
ribet parah joinnya suruh ulang kotak name password pakai email,2,negative
tolong tau enggasaya daftar pas dpet gmail verifikasi salah jwabanyaapa kendala tau tida suhu suhu bantuanyasoalnya pngin main big ambutions,1,neutral
pas akun pas check gmail masuk steam tibatiba hilang akun tolong baik,1,neutral
oke mantaptapi paham beli nyabuat paham beli kayak gta fifa pokok game pas beli cloud game sih ytdan tinggal sambung akun steam main,0,positive
pesan senaheho kaca woi orang indonesia ok apk bagus sekian,0,positive
ya omong kasar login lihat youtube,2,negative
tolong gmod ya bayar gratis dimainin android game steam bayar,1,neutral
login hp suruh pakai steam mobile susah login,2,negative
bagus steam mobile uikoneksi dll,0,positive
gue login sulit gue pc rumah astgaa,2,negative
aplikasi ya kasih bintang next update tambah fitur bayar pulsa ya,1,neutral
pc pas menguninstall game control panel wait until blablabla orang beong changed menit,1,neutral
sih pakai email password susah daftar pakai akun google kali,2,negative
pulih akun indikasi kena hack ribet banget alamat email,2,negative
aplikasi larang alam semesta,1,neutral
tolong fix code steam guard via login,1,neutral
keren nih app puas ya main game gratis bagus kecewa,2,negative
gue masuk nama ya gue kasih saran orang download entar,1,neutral
apa nih login susah,2,negative
susah login saking aman sistem ya,2,negative
bikin akun anjg ya login pas bikin akun muncul ya menu login tolol,1,neutral
didownload perangkat android nougat tolong solusi ya thx,1,neutral
hilang handphone log ribetnya prosedur,2,negative
verifikasi email login buruk,2,negative
kurang login urus susah lupa password,2,negative
login ulang susah banget ganti password sulit ampun,2,negative
log susah steam sengaja hapus,2,negative
bug login mobile,1,neutral
lawak login bilang password email salah,1,neutral
akun suruh verifikasi tibasaya suruh exit family view kali akun steam,1,neutral
ngabisin kuota gue download eh gamenya download ulang gue gue kuliah benerin sengaja devnya bego,2,negative
masuk steam gagal,2,negative
babi error mulu login hp gue flagship,2,negative
steam rusak tolong baik ya semangat bikin developer ya,2,negative
hapus steam guard login pc tam guard tempel hp tolong timbang,1,neutral
loginsalah password mulu gua ganti barueh ajaga login salah password,1,neutral
login ya coba daftar sulit login,2,negative
masuk login tibatiba log out,1,neutral
apk cacat bug kadang buka sinyal lancar,2,negative
steam tolol gua lofin jam busa suruh pasuk email ya pas pasuk salah email,2,negative
akun ku hack gmail ya ganti yahoo login kode aman payah,2,negative
bad service lupa password bawa website buggy kode verifikasi sampesampe,1,neutral
pas bikin akun steam verifikasi email suruh pasuk pin keluarga,1,neutral
easy komputer main team fortess bagus mohon kurang lag,0,positive
mantapmempermudah claim game lihat komunitasgk buka komputer,1,neutral
aplikasi praktis mudah beli game buka steam pc,0,positive
beli game the witcher tibaforce close pas scane kuda jembatan batu,1,neutral
nge verifikasi email masuk aplikasi ya,1,neutral
bagus bayar tolong gratisin ya woi gakmau pakai paswword download vpn master play store,1,neutral
aplikasi ajg daftar belit belit mudah bikin akun google daftar cok,1,neutral
masukkin password salah mulujadi otomatis masuk,1,neutral
akun susahsetelah verifikasi susah muterin,2,negative
keren login steam pc pasuk password tinggal scan pakai aplikasi,1,neutral
login susah banget ngetes robot ngelag suruh ngulang login,2,negative
tolong bantu akun steam hack kirim email respon,1,neutral
aplikasi pantau akun steam pc sih games main hp bilang apk jelek bahasa program mudah,2,negative
pengin login masuk ya tolong abang baik ya,1,neutral
pas masuin passwordnya pakai password bikin kesel,2,negative
pasuk username password eh kode verifikasi pas telah tolong baik,1,neutral
kasih bintang blog masuk username akun email login disinimobile sesuai dekstop,1,neutral
login ya ribet tulis mohon periksa sandi username ya coba,2,negative
asli kacau kontak suport balesnya minggu kali guna pakai steam suport mending hapus fitur nomer hilang hapus steam guard nomer hp asih bukti transaksi balas steam steam,2,negative
bagus amanhanya tambah beli mudah,0,positive
game bagus banget ya game gratis gratis poppy playtime chapter garten of banban,0,positive
terima kasih steam kendala cupu banget lo,0,positive
apk berat banget fitur minim berat kalah shopee,2,negative
anak anjing gue capek capek login download ngestuck suruh download steam download aplikasi tolol,2,negative
siasia versi mobile susah bikin akun daftar,2,negative
beli game anno sukses gamenya masuk library woi,1,neutral
login paksa download steam mobile biar coba menuhin memori hp i dont like this app,1,neutral
mohon maaf ya login ya susah banget,2,negative
steam mobile tolong tambah fitur grup chat gampang chat team mabar,1,neutral
aplikasi bagus choo choo carles granny remake lainlainnya tulis pasword akun,0,positive
sabar ya asih bintang komentar ya bocah erti gamenya main cuman pc bocah ingus ngomelv kocak,2,negative
login tuh akun steam pc pasuk password akun pc ya channel steam erti baca ulang terima kasih baca ulang erti ya channel pasuk steam hp channel steam pc pasuk hp maaf maaf erti,1,neutral
aplikasi buruk suruh login eh,2,negative
bikin akun sulit suruh ngulang pasuk email tolong baik sulit,2,negative
sayang android daftar akun adakan mudah daftar thanks,1,neutral
dahlahmales banget login ya gue coba kali login please jam gue coba login mohon baik,2,negative
bilang kagak login itumah ya kagak tau loginnya,2,negative
gila bagus banget gue capek capek nabung uang gue beli game subnautica,2,negative
nambahin nomor telepon error suruh try again gilir try again,2,negative
steam coba cek sandi cek cek begoin steam,1,neutral
beli dana susah banget,2,negative
login ya susah banget pas cek email kode suruh login habis password salah ah sih,2,negative
tolong tambah metode bayar indomartgoogle pay bingung,1,neutral
susah banget sig ya gara gara steam guard astaga,2,negative
nih username pw ya salah,2,negative
apk ya bagus bagus terimahkasi apk salam,0,positive
susah login doang,2,negative
game apa jelek steam beguna,2,negative
login kocakk,1,neutral
bikin akun doang,1,neutral
akun catcha eror akun,2,negative
terimakasih steam akun,0,positive
good games nys simple isi cas game walet ya ssangat suka,0,positive
login anjir,2,negative
aplikasi erorr,2,negative
kecewa login password,2,negative
login pakai aplikasi aplikasi error email password bilang error pas coba pc masuk masuk ngereset password pc aplikasi error coba takut akun hilang,2,negative
download login coba forgot password login,1,neutral
suka error beli game,2,negative
versi bahasa indonesia biar mudah erti,1,neutral
sign steam kesal mohon baik ya terima kasih,2,negative
anjing susah bangsat password masuk akun,2,negative
respon captcha valid walah gatheell apk mmeeqq sumpah konntll,1,neutral
pasang nama ya coba baik update,1,neutral
masuk code steam guardnya smaa hp tolong fix admin,1,neutral
bikin akun sulit pc sulit verifikasi captcha hp sulit verifikasi e mail,2,negative
sangaat bantu beli game tau informasi diskon game,1,neutral
akun verifikasi gagal ponsel kecewa,2,negative
gamenya bagus pakai scan account hp laptop tau account ya laptop,0,positive
suka donlowd jam gb henti dilanjutin,2,negative
pas login susah banget minggu coba,2,negative
banget nih aplikasi kagak akun download aplikasi aco,1,neutral
wtf steam support idiot kali change password pas login tolong steam support akun moekanzie masuk ya,1,neutral
bikin akun bugg,1,neutral
steam pc pc main dota steam android chat teman lihat diskon lord gaben,1,neutral
aplikasi akun repot download sesal,1,neutral
aplikasi ber faedah pengin main game bagus usaha pelit dunia,0,positive
bugg steamm bahasa china atur bahasa inggris,2,negative
aplikasi ya pas habis diupdate blank pas buka tolong baik,1,neutral
login sulit banget salah mulu sesuai,2,negative
apk gue ndownload geme laptop geme ya buka suruh download apk,1,neutral
bug trade ya harap batu ya developer,2,negative
pantau game game diskon sayang jarang banget notif pesan steam,1,neutral
bodo kali klean masuk steamnya doang daftar akun pc webnya,2,negative
steam salah usaha segi bantu,1,neutral
sulit login,2,negative
loginnya susah banget anjing bolakbalik arah youtube,2,negative
tampil modern kayak,2,negative
woi tuju simpel ribet iya,2,negative
login erti tuh,1,neutral
sulit akun ya woi valve baik barang mu,2,negative
nih log password ya isi otomatis,1,neutral
ganti password hasil pas login pc password salah guobblokk,1,neutral
login chikii taptap picsart login steam steam susah login,2,negative
kasih bintang daftar password tolong daftar tolong benerin ya,1,neutral
create account langsung sig nih orang akun daftar,1,neutral
aplikasi rusak password ganti salah,2,negative
bocah main game steam hp banget norak ya game steam main hp underlords itu langsung main dalam buka steamnya musti download playstore hp kuat sih ya kentang mending urungin niat main game lord gaben hp blokk,2,negative
woii steam kirai gua doang bangsatt login susah,2,negative
akun ribet banget singkron web app ya,2,negative
buka hitam ganti hp spec merek endak buka steam hp minggu kayak tolong bantu,1,neutral
ngen entot steam tulis nama akun tlol download dasar curi data orang,2,negative
selasa pasang store ya muncul,1,neutral
gakbisa login pasuk password ya,1,neutral
susah banget anjing masuk akun doang,2,negative
beli game steam steam steam addstalin,1,neutral
gamenya bagus garden of banban chapter gamenya bagus,0,positive
akun suruh login masuk username username akun suruh login sih,1,neutral
steam ya blank hitam pencet login,1,neutral
mohon bantu akun steam buka email password nya pas tanda kode pliss kasih tau ya,1,neutral
account ganti username passwordnya login tt,1,neutral
ulang kali login sih pasuk password sayagk nih appmaaf kasar tuh ngatasinnya,2,negative
resah aplikasi direstart buka gmail verifikasi,1,neutral
steam sih up akun salah ulang komlain gl,1,neutral
apk bagus mendownload ribu game pc terima kasih steam,0,positive
log lgin password salah login pc,1,neutral
pasuk akun ya sih tolong ya bingung masukainnya,2,negative
bantu kelola main jelajah aplikasi,1,neutral
aplikasi buka stuck loading screen,1,neutral
aplikasi steam mobile mudah guna buka akun steam tampa buka pc,1,neutral
kabark gaes steam blokir kominfo tau cari google ya steam aplikasi keren ya sedih steam blokir kominfo selamat tinggal steam bintang,2,negative
sih lebay banget pakai kode vertifikasi eh pakai kode gampang mah kode nyulitin,2,negative
apk anehhbikin akun ribet banget anjmau verified email ulang ulang ngntd,2,negative
suka pasuk password nama kesal banget,2,negative
aplikasi ya bagus cuman metode bayar ya tambah gopay ya,0,positive
ehhaku sih bagus stam game plastore steam kadi bintang,0,positive
aplikasi bikin akun suruh ulang tolol,1,neutral
susah banget login ya login susah banget login,2,negative
aplikasi keren banget hilang bosan mainin email password,0,positive
akun tibatiba log out masuk,1,neutral
bantu malas buka steam laptop beli game hp,2,negative
bagus versi versi page ya banyak lihat,0,positive
log steam mohon baik,1,neutral
mantap cuman bayar luas tambah shopepay kayak,0,positive
nama akun password akun nama password salah tolong baik,2,negative
habis baru gbisa buka community market install ulang gbisa login sih pls respond my message,1,neutral
akun susah login gara gara code login steam hp lihat code ya bego,2,negative
ui and ai lanjut industri game ina,1,neutral
aplikasi ganti sandi salah niat apk,1,neutral
login anjir tulis password tulis nama salah tolong bangtu ya,1,neutral
login kasih password login apk khusus pc mobile tolong baik,1,neutral
tolong baik login kasih bintang,1,neutral
bagus teman offline online,0,positive
sign gagal teroos pasuk password sinyal wifi kuat laptop samaaja woi beli game gua asw,2,negative
beli game steam hp buka buka browser,1,neutral
konyol login akun pc smartphone,2,negative
layan buruk akun dihack bantu respon steam,2,negative
tolong gua akun hilang hpmasa nomer hp lawaksedangkan email aktif,1,neutral
masuk pasuk nama password anggap gua beli game apex legend fortnite,1,neutral
game kali pasuk password salah mulu pakai akun tolong hapus steam play store,1,neutral
bagus bagus buruk bilang orang orang kasihan banget rating ya jelek tolong ubah binyangnya cuii minimal bintang,2,negative
akun aplikasi steamnya langsung ribet banget akun doang buang buang gua doang baut akun banget tf,2,negative
login pc sulit captcha kntl captcha ceklis isi ulang mmk gue manuisa kontl,2,negative
banget loginnya hp pengin main pc,1,neutral
apa meribetkan recaptcha masuk web larang,1,neutral
bahasa china ganti english china,1,neutral
tolong akun steam main game garrys mod tolong kasih,1,neutral
useless steam guard akun online massage pakai akun kirim link curiga akun pas ganti pw,1,neutral
update jelek,2,negative
login email,1,neutral
wa bagus download game pc secret neighbor,0,positive
saran download sih bikin akun steam ya ribet banget,2,negative
pas verifikasi robot ngulang ngulang tolong baik,2,negative
pas sign akun inccoret akun password ya,1,neutral
woy gue amp kali akun gara gara kagak bi login,2,negative
akun ribet steam steam baik game ya admin ya peduli apknya,2,negative
login susah pakem banget,2,negative
autentikasi login selamat tinggal library ku,1,neutral
daftar sih pengin main project playtime mahal,2,negative
id sandi masuk aplikasi gilir webnya bingung,1,neutral
jelek ah suruh verifikasi robot mulu baca ya verifikasi bikin emosi,2,negative
ngebacot mainin hey pea tuh cuman versi hp steam cuman kam biar orang masuk steam gampang mangkanya ajar biar beda,2,negative
bantu mendownload game game susah cari playstore faktor,1,neutral
gacor parah anjir gue refund benar refund sepenuh penuh syarat milik alas pokok best banget aplikasi steam,2,negative
pakai tablet pc advan vx neo main dota,1,neutral
update tolol masak kirim code no tlfn indak,1,neutral
kode kirim sms nomor sms masuk berharihari coba,1,neutral
susah banget daftarnyaudah pasuk email pas pencet suruh pasuk email,2,negative
guna guna akun steam suka login,1,neutral
aplikasi bodoh masuk suruh pasuk akun steam orang bikin akun,2,negative
sampah app nge refresh bolak akun refresh app sampah,2,negative
ganti password kali log tolong bantu,1,neutral
memasukam id pencet login kereset ngebug,1,neutral
login ya susah google,2,negative
dukacita makhluk tolol asih bintang download aplikasi steam hp mainin gamenya,1,neutral
guys pakai steam mandingan pakai play store login semua hp,1,neutral
btw registrasi kendala coba download install komputer gue ngalamin work moga worth,1,neutral
juelek banget masuk banyak drama tinggal sat set ya ribet bergunu thanks,2,negative
bagus aplikasi download raft survival pc download orang android download android lo bagus banget nih aplikasi,0,positive
versi baru nyangkut akun gua codenya login,1,neutral
update change language bahasa china,1,neutral
pas bikin akun gagal konfirmasi robot salah suruh ulang banget,2,negative
masuk ya ribet,2,negative
tae gara gue donload nih aplikasi layar kunci gue lgigosah donload nih aplikasi buang kuota,2,negative
mudah malas buka laptop fitur refund,2,negative
cacat kena musibah hpnya hilang balikin akun lgiinya ribet banget steam guard nyangkut nomer hp hilang hpnya suruh asih bukti bukti hilang hpnya sesal banget ngaitin steam guard kena musibah hilang hp ribetnya,2,negative
bantu inggatkan ngontrol steam pc lol main android,1,neutral
senang senang main game marah steam lambat kayak siput buang download,0,positive
tahap hasil wkwkwk,1,neutral
akun steam langsung sign,1,neutral
main cs go suka klose steamnya speknya dukung v,2,negative
aplikasi sampahmau login persulithilang gta terraria ku,1,neutral
aplikasi jelek login broswr,2,negative
sistem aman ya ribeett mohon baik,2,negative
kesini bikin susah daftar ribet,2,negative
sih sih tolool username password lihat youtube toollong perbaikikin blok,1,neutral
aplikasi kayak tahi login susah verifikasi nomor hp kirim nomor verifikasi baik,2,negative
pasword steam google apknya maksud ya kerja kntl,1,neutral
susah banget masuk captcha ya kali gila,2,negative
maaf ya hina aplikasi simpan aplikasi indak tebuka aplikasi keren,1,neutral
verifikasi nomer moloe ya error moloe,2,negative
gamenya bagus main game inceranku indigo park,0,positive
error selesai bayar,2,negative
kayak akun ya ku coba akun doang gmail loh,1,neutral
login gagal email password,2,negative
tolong baki steam guardnya kayak sampah banget,2,negative
coba baikin pas login ribett banget irng susah akun steambikin mudah,1,neutral
aplikasi rusak downloadpadahl gue pasuk email ya number phone ya parah sih,2,negative
daftar id sulit capcha salah sesat,2,negative
bagus banget main gta tinggal conect,0,positive
burukpayahjelekgabisa loginrusakkacau parah nih apk bintang gue kasih bintang,2,negative
pas install nama password nama ya password password ya pas check email ya check password ya apasaja pas isiin password apasaja marah banting hp,2,negative
